,Date,Vp,RHO,T,BP
0,2000-07-15 00:00:00,745.0,10.9,73996.0,3.4655447562776733
1,2000-07-15 01:00:00,719.0,10.7,82122.0,4.3416587735554035
2,2000-07-15 02:00:00,741.0,5.8,308912.0,5.522680396349533
3,2000-07-15 03:00:00,721.0,4.3,96307.0,5.300943503008461
4,2000-07-15 04:00:00,758.0,3.3,119417.0,5.220153254455275
5,2000-07-15 05:00:00,745.0,6.3,127009.0,5.6080300421515545
6,2000-07-15 06:00:00,718.0,5.3,296535.0,6.772001174645567
7,2000-07-15 07:00:00,705.0,3.8,352419.0,6.606814468795033
8,2000-07-15 08:00:00,660.0,3.2,49113.0,5.382378679353148
9,2000-07-15 09:00:00,678.0,3.5,98944.0,6.370243311476586
10,2000-07-15 10:00:00,677.0,2.8,388853.0,6.103277807866851
11,2000-07-15 11:00:00,694.0,8.7,124652.0,5.597320952931698
12,2000-07-15 12:00:00,683.0,7.9,394420.0,5.703507502126624
13,2000-07-15 13:00:00,610.0,12.5,428086.0,3.551056184941352
14,2000-07-15 14:00:00,866.0,20.1,1501458.0,11.962023085571422
15,2000-07-15 15:00:00,858.0,18.2,917271.0,5.147814857446712
16,2000-07-15 16:00:00,1010.0,5.1,945610.0,3.590264616859527
17,2000-07-15 17:00:00,991.0,9.8,1800631.0,1.8867962466291757
18,2000-07-15 18:00:00,993.0,15.0,1868463.0,7.8568444196327345
19,2000-07-15 19:00:00,1000.0,20.6,493636.0,37.64638181933178
20,2000-07-15 20:00:00,1040.0,5.9,167332.0,48.61532737021434
21,2000-07-15 21:00:00,1107.0,7.2,150037.0,43.529416687884776
22,2000-07-15 22:00:00,1089.0,5.7,100515.0,40.138384899267905
23,2000-07-15 23:00:00,1079.0,9.7,49785.0,30.37268540782576
24,2000-07-16 00:00:00,1030.0,8.1,97358.0,31.898118306211284
25,2000-07-16 01:00:00,1012.0,2.1,389399.0,36.27133999427745
26,2000-07-16 02:00:00,970.0,1.3,62893.0,38.04339582699203
27,2000-07-16 03:00:00,949.0,1.9,53907.0,38.00328972279426
28,2000-07-16 04:00:00,915.0,2.8,35007.0,38.451267031068774
29,2000-07-16 05:00:00,883.0,2.2,24129.0,37.19274133498182
30,2000-07-16 06:00:00,842.0,1.2,30608.0,32.96740762156247
31,2000-07-16 07:00:00,806.0,1.5,21337.0,29.45165498419373
32,2000-07-16 08:00:00,804.0,0.8,25065.0,26.630808462633553
33,2000-07-16 09:00:00,816.0,0.7,19580.0,24.200827195107653
34,2000-07-16 10:00:00,788.0,0.7,63977.0,22.03360994120156
35,2000-07-16 11:00:00,790.0,1.2,101281.0,20.25487633472698
36,2000-07-16 12:00:00,781.0,2.2,35476.0,18.120154475254683
37,2000-07-16 13:00:00,772.0,2.2,193438.0,14.302446985624925
38,2000-07-16 14:00:00,784.0,1.0,137577.0,11.406139124501252
39,2000-07-16 15:00:00,770.0,0.5,74856.0,9.763708255255166
40,2000-07-16 16:00:00,739.0,0.6,47425.0,8.036168044742348
41,2000-07-16 17:00:00,736.0,0.7,36998.0,7.009279760155019
42,2000-07-16 18:00:00,743.0,0.7,28813.0,6.135144840386773
43,2000-07-16 19:00:00,724.0,0.7,32093.0,3.5114099446986247
44,2000-07-16 20:00:00,744.0,0.5,24547.0,4.632494009048039
45,2000-07-16 21:00:00,734.0,0.5,43676.0,4.341658581355811
46,2000-07-16 22:00:00,736.0,0.5,68225.0,4.341658581355811
47,2000-07-16 23:00:00,704.0,0.6,126013.0,3.8832976340971004
48,2000-07-17 00:00:00,684.0,0.8,130262.0,3.1906112924668064
49,2000-07-17 01:00:00,675.0,1.1,112445.0,2.5079872410345496
50,2000-07-17 02:00:00,678.0,0.9,94891.0,3.3941126845653433
51,2000-07-17 03:00:00,670.0,1.0,117024.0,2.899999930940826
52,2000-07-17 04:00:00,680.0,0.9,116730.0,2.9681644287832074
53,2000-07-17 05:00:00,678.0,0.9,92087.0,3.4999999046325687
